Business Name,Address No,Address 1,Address 2,Address 3,Town,County,Country,Postcode,Total Assistance Offered by Invest NI (£),Date Offer Made (Issued Date),Accepted Date,Source of Funding (Scheme),Jobs to be Created (Promoted),Total Investment by Company (Includes Invest NI Assistance) £,Sector,Start Up (Y/N),Conditions of Offer,District Council,No of Employees in Company
360 Attachments (UK) Ltd,138,Ballinderry Bridge Road,Ballinderry,Coagh,Cookstown,Co. Tyrone,Northern Ireland,BT80 0AY,"12,650",9-Jul-13,11-Jul-13,Grant For Research And Development,0,"23,000",Engineering,N,Research and Development,COOKSTOWN,Not Available
360 Attachments (UK) Ltd,138,Ballinderry Bridge Road,Ballinderry,Coagh,Cookstown,Co. Tyrone,Northern Ireland,BT80 0AY,"1,850",4-Dec-13,9-Dec-13,MIS,0,"5,410",Engineering,N,Innovation and Technical Development,COOKSTOWN,Not Available
360 Production Limited,Suite 2.2,The Innovation Centre,Northern Ireland Science Park,Bay Road,Derry,Co. Londonderry,Northern Ireland,BT48 7TG,"39,208",28-Sep-11,29-Sep-11,Growth Accelerator Programme (GAP),0,"98,020",Creative,N,Other,DERRY,12
360 Production Limited,Suite 2.2,The Innovation Centre,Northern Ireland Science Park,Bay Road,Derry,Co. Londonderry,Northern Ireland,BT48 7TG,"47,198",24-Oct-13,4-Nov-13,Growth Accelerator Programme (GAP),2,"151,000",Creative,N,Job Creation,DERRY,12
3D Steelwork Ltd,2A,Washingbay Road, , ,Coalisland,Co. Tyrone,Northern Ireland,BT71 4ND,"9,035",24-May-11,25-May-11,MIS,0,"29,400",Materials Handling/Quarry Plant,N,Innovation and Technical Development,DUNGANNON,80
3D Steelwork Ltd,2A,Washingbay Road, , ,Coalisland,Co. Tyrone,Northern Ireland,BT71 4ND,"49,761",9-Feb-12,10-Feb-12,Grant For Research And Development,0,"165,869",Materials Handling/Quarry Plant,N,Research and Development,DUNGANNON,80
3D Steelwork Ltd,2A,Washingbay Road, , ,Coalisland,Co. Tyrone,Northern Ireland,BT71 4ND,"48,000",22-Mar-12,27-Mar-12,Selective Financial Assistance (The Jobs Fund),8,"282,880",Materials Handling/Quarry Plant,N,Job Creation,DUNGANNON,80
3D Steelwork Ltd,2A,Washingbay Road, , ,Coalisland,Co. Tyrone,Northern Ireland,BT71 4ND,"82,930",21-Nov-12,23-Nov-12,Grant For Research And Development,0,"276,433",Materials Handling/Quarry Plant,N,Research and Development,DUNGANNON,80
3D Steelwork Ltd,2A,Washingbay Road, , ,Coalisland,Co. Tyrone,Northern Ireland,BT71 4ND,"3,151",29-Jan-13,13-Feb-13,Resource Efficiency Capital Grant,0,"5,730",Materials Handling/Quarry Plant,N,Innovation and Technical Development,DUNGANNON,80
3D Steelwork Ltd,2A,Washingbay Road, , ,Coalisland,Co. Tyrone,Northern Ireland,BT71 4ND,"49,999",7-Mar-13,11-Mar-13,Resource Efficiency Capital Grant,0,"122,727",Materials Handling/Quarry Plant,N,Innovation and Technical Development,DUNGANNON,80
3D Steelwork Ltd,2A,Washingbay Road, , ,Coalisland,Co. Tyrone,Northern Ireland,BT71 4ND,"49,999",7-Mar-13,11-Mar-13,Resource Efficiency Capital Grant,0,"122,727",Materials Handling/Quarry Plant,N,Innovation and Technical Development,DUNGANNON,80
3D Steelwork Ltd,2A,Washingbay Road, , ,Coalisland,Co. Tyrone,Northern Ireland,BT71 4ND,"30,600",3-Apr-13,10-Apr-13,Business Growth Programme (The Jobs Fund),2,"153,000",Materials Handling/Quarry Plant,N,Job Creation,DUNGANNON,80
3D Steelwork Ltd,2A,Washingbay Road, , ,Coalisland,Co. Tyrone,Northern Ireland,BT71 4ND,"24,000",12-Apr-13,19-Apr-13,Growth Accelerator Programme (GAP),0,"93,000",Materials Handling/Quarry Plant,N,Other,DUNGANNON,80
3D Steelwork Ltd,2A,Washingbay Road, , ,Coalisland,Co. Tyrone,Northern Ireland,BT71 4ND,"1,400",1-Jul-13,8-Jul-13,Business Growth Programme (The Jobs Fund),0,"2,800",Materials Handling/Quarry Plant,N,Other,DUNGANNON,80
3D Steelwork Ltd,2A,Washingbay Road, , ,Coalisland,Co. Tyrone,Northern Ireland,BT71 4ND,"110,602",7-Oct-13,9-Oct-13,Grant For Research And Development,0,"442,409",Materials Handling/Quarry Plant,N,Research and Development,DUNGANNON,80
3D Steelwork Ltd,2A,Washingbay Road, , ,Coalisland,Co. Tyrone,Northern Ireland,BT71 4ND,"26,250",21-Feb-14,24-Feb-14,Business Growth Programme (The Jobs Fund),1,"150,000",Materials Handling/Quarry Plant,N,Job Creation,DUNGANNON,80
3D Steelwork Ltd,2A,Washingbay Road, , ,Coalisland,Co. Tyrone,Northern Ireland,BT71 4ND,"9,900",2-Apr-14,4-Apr-14,MIS,0,"28,217",Materials Handling/Quarry Plant,N,Innovation and Technical Development,DUNGANNON,80
3Sixty Create Ltd,293,Ormeau Road, , ,Belfast,Co. Antrim,Northern Ireland,BT7 3GG,"42,000",16-Mar-12,20-Mar-12,Selective Financial Assistance (The Jobs Fund),6,"242,000",Computer Software & Services,N,Job Creation,BELFAST,1
493K Limited,23,Watch Hill Road, , ,Ballyclare,Co. Antrim,Northern Ireland,BT39 9QW,"3,750",1-Jun-11,6-Jun-11,Project Definition,0,"7,500",Engineering,N,Research and Development,CARRICKFERGUS,4
493K Limited,23,Watch Hill Road, , ,Ballyclare,Co. Antrim,Northern Ireland,BT39 9QW,"41,850",29-Dec-11,5-Jan-12,Grant For Research And Development,0,"93,000",Engineering,N,Research and Development,CARRICKFERGUS,4
493K Limited,23,Watch Hill Road, , ,Ballyclare,Co. Antrim,Northern Ireland,BT39 9QW,"7,350",22-Feb-12,2-Mar-12,Interim Managers,0,"15,000",Engineering,N,Skills Development,CARRICKFERGUS,4
493K Limited,23,Watch Hill Road, , ,Ballyclare,Co. Antrim,Northern Ireland,BT39 9QW,"32,640",10-May-12,15-May-12,Growth Accelerator Programme (GAP),0,"117,300",Engineering,N,Other,CARRICKFERGUS,4
493K Limited,23,Watch Hill Road, , ,Ballyclare,Co. Antrim,Northern Ireland,BT39 9QW,"10,000",14-Oct-13,11-Nov-13,Selective Financial Assistance (The Jobs Fund),2,"67,080",Engineering,N,Job Creation,CARRICKFERGUS,4
493K Limited,23,Watch Hill Road, , ,Ballyclare,Co. Antrim,Northern Ireland,BT39 9QW,"49,030",26-Feb-14,13-Mar-14,Grant For Research And Development,0,"108,956",Engineering,N,Research and Development,CARRICKFERGUS,4
4H20,5,Oakland Avenue, , ,Dungannon,Co. Tyrone,Northern Ireland,BT70 1AG,"3,000",16-May-14,17-May-14,Social Entrepreneurship Programme,3,"53,529",Value Not Set In CCMS,Y,Job Creation,DUNGANNON,Not Available
8over8 Limited, ,Northern Ireland Science park,Bay Road, ,Londonderry,Co. Londonderry,Northern Ireland,BT48 7TG,"98,565",13-Feb-13,3-May-13,BITp,0,"328,550",Computer Software & Services,N,Skills Development,DERRY,50
A & B Doors Limited,82,Bann Road, , ,Castlewellan,Co. Down,Northern Ireland,BT31 9AD,"4,500",4-Sep-13,11-Sep-13,Selective Financial Assistance (The Jobs Fund),1,"28,080",Construction Products,N,Job Creation,BANBRIDGE,10
A & B Doors Limited,82,Bann Road, , ,Castlewellan,Co. Down,Northern Ireland,BT31 9AD,"8,820",5-Feb-14,11-Feb-14,Interim Managers,0,"18,000",Construction Products,N,Skills Development,BANBRIDGE,10
A & B Pneumatics Limited,117,Halftown Road,Maze, ,Lisburn,Co. Antrim,Northern Ireland,BT27 5RF,"3,000",22-Dec-11,23-Dec-11,Selective Financial Assistance (The Jobs Fund),1,"25,600",Transport,N,Job Creation,LISBURN,12
A & B Pneumatics Limited,117,Halftown Road,Maze, ,Lisburn,Co. Antrim,Northern Ireland,BT27 5RF,750,6-Jun-13,11-Jun-13,Technical Development Incentive (TDI),0,"1,500",Transport,N,Innovation and Technical Development,LISBURN,12
A & E Pots Limited,Unit 1,Swilly House,Site 8,Springtown Industrial Estate,Derry City,Co. Londonderry,Northern Ireland,BT48 0LY,"18,000",14-Aug-12,16-Aug-12,Selective Financial Assistance (The Jobs Fund),6,"144,000",General Manufacturing,N,Job Creation,DERRY,1
A & E Upholstery,14a,Ardboe Business Park,Kilmascally Road, ,Ardboe,Co. Tyrone,Northern Ireland,BT71 5BJ,"9,000",15-Apr-11,2-Jun-11,Export Start,3,"68,518",Furniture,Y,Job Creation,COOKSTOWN,2
A & N Shilliday & Co. Limited,12,Ballinahonemore Road, , ,Armagh,Co. Armagh,Northern Ireland,BT60 1ED,"22,459",30-Nov-12,17-Dec-12,MIS,0,"54,438",Business Services,N,Innovation and Technical Development,ARMAGH,30
A M Light,28a,Greenville, , ,Belfast, ,Northern Ireland,BT5 5AG,"11,300",24-Aug-11,24-Aug-11,Growth Accelerator Programme (GAP),0,"22,600",Construction Products,N,Other,BELFAST,4
A M Light,28a,Greenville, , ,Belfast, ,Northern Ireland,BT5 5AG,"9,750",15-Oct-12,31-Oct-12,Growth Accelerator Programme (GAP),0,"19,500",Construction Products,N,Other,BELFAST,4
A N E Solutions Ltd,Unit 4,Ballykeel Business Centre,18 Crebilly Road, ,Ballymena,Co. Antrim,Northern Ireland,BT42 4DN,"30,000",8-Oct-13,15-Oct-13,Export Start,3,"142,000",Engineering,Y,Job Creation,BALLYMENA,5
A N Irwin & Sons, ,Stilloga Mills,11 Carrowcoleman Road,Eglish,Dungannon,Co. Tyrone,Northern Ireland,BT70 1LF,"7,865",15-Dec-11,2-Feb-12,MIS,0,"15,730",Food,N,Innovation and Technical Development,DUNGANNON,32
A N Irwin & Sons, ,Stilloga Mills,11 Carrowcoleman Road,Eglish,Dungannon,Co. Tyrone,Northern Ireland,BT70 1LF,"17,645",9-Oct-12,10-Oct-12,Project Definition,0,"39,665",Food,N,Research and Development,DUNGANNON,32
A N Irwin & Sons, ,Stilloga Mills,11 Carrowcoleman Road,Eglish,Dungannon,Co. Tyrone,Northern Ireland,BT70 1LF,"7,500",23-Oct-12,23-Oct-12,Interim Managers,0,"15,750",Food,N,Skills Development,DUNGANNON,32
A N Irwin & Sons, ,Stilloga Mills,11 Carrowcoleman Road,Eglish,Dungannon,Co. Tyrone,Northern Ireland,BT70 1LF,"21,000",22-Nov-12,27-Nov-12,Selective Financial Assistance (The Jobs Fund),3,"102,000",Food,N,Job Creation,DUNGANNON,32
A N Irwin & Sons, ,Stilloga Mills,11 Carrowcoleman Road,Eglish,Dungannon,Co. Tyrone,Northern Ireland,BT70 1LF,"199,947",4-Jul-13,6-Jul-13,Grant For Research And Development,0,"451,154",Food,N,Research and Development,DUNGANNON,32
A N Irwin & Sons, ,Stilloga Mills,11 Carrowcoleman Road,Eglish,Dungannon,Co. Tyrone,Northern Ireland,BT70 1LF,"15,000",2-Dec-13,12-Dec-13,Selective Financial Assistance (The Jobs Fund),3,"100,000",Food,N,Job Creation,DUNGANNON,32
A N Irwin & Sons, ,Stilloga Mills,11 Carrowcoleman Road,Eglish,Dungannon,Co. Tyrone,Northern Ireland,BT70 1LF,"2,400",13-Nov-13,6-Jan-14,Business Growth Programme (The Jobs Fund),0,"4,800",Food,N,Other,DUNGANNON,32
A P Signs (Portadown) Limited, ,Carn Industrial Estate, , ,Portadown,Co. Armagh,Northern Ireland,BT63 5YX,"10,000",6-Mar-14,10-Mar-14,Selective Financial Assistance (The Jobs Fund),2,"70,000",General Manufacturing,N,Job Creation,CRAIGAVON,2
A Slice of Heaven Ltd, ,F5 Ards Business Centre,Jubilee Road, ,Newtownards,Co. Down,Northern Ireland,BT23 4YH,"12,560",15-Sep-11,22-Sep-11,Growth Accelerator Programme (GAP),1,"31,150",Food,N,Job Creation,ARDS,10
A W Control Systems Ltd,92,Moy Road, , ,Armagh,Co. Armagh,Northern Ireland,BT61 8DR,"19,676",7-Aug-14,26-Aug-14,Growth Accelerator Programme (GAP),3,"185,780",Electrical & Electronics,N,Job Creation,DUNGANNON,12
A W Control Systems Ltd,92,Moy Road, , ,Armagh,Co. Armagh,Northern Ireland,BT61 8DR,"7,756",2-Sep-14,11-Sep-14,MIS,0,"23,594",Electrical & Electronics,N,Innovation and Technical Development,DUNGANNON,12
A&J Bedding Limited,Unit 1,Narrow Water Business Park, , ,Warrenpoint,Co. Down,Northern Ireland,BT34 3LE,720,2-Jun-11,6-Jun-11,Pre-Start,0,"1,800",Creative,Y,Other,NEWRY & MOURNE,2
A. & S. Donaldson (Northern Ireland) Limited, ,Systems House,Enterprise Crescent, ,Lisburn,Co. Antrim,Northern Ireland,BT28 2BH,"15,000",27-Apr-12,7-Jun-12,Growth Accelerator Programme (GAP),0,"83,210",Computer Software & Services,Y,Other,LISBURN,9
A. D. Surveyors Ltd,21,Kings Street, , ,Magherafelt,Co. Londonderry,Northern Ireland,BT45 6AR,"7,000",12-Feb-13,15-Feb-13,Selective Financial Assistance (The Jobs Fund),1,"32,000",Business Services,N,Job Creation,MAGHERAFELT,4
A. D. Surveyors Ltd,21,Kings Street, , ,Magherafelt,Co. Londonderry,Northern Ireland,BT45 6AR,"1,296",27-Mar-13,22-Apr-13,Growth Accelerator Programme (GAP),0,"3,240",Business Services,N,Other,MAGHERAFELT,4
A. Farlow (Engineering) Ltd,39,Ballynameen Road, , ,Garvagh,Co. Londonderry,Northern Ireland,BT51 5PN,"14,988",19-Jan-12,25-Jan-12,Growth Accelerator Programme (GAP),0,"37,470",Engineering,N,Other,COLERAINE,23
A. Farlow (Engineering) Ltd,39,Ballynameen Road, , ,Garvagh,Co. Londonderry,Northern Ireland,BT51 5PN,"10,000",18-Dec-12,2-Jan-13,Technical Development Incentive (TDI),0,"25,000",Engineering,N,Innovation and Technical Development,COLERAINE,23
A. Farlow (Engineering) Ltd,39,Ballynameen Road, , ,Garvagh,Co. Londonderry,Northern Ireland,BT51 5PN,"5,000",20-Feb-13,13-Mar-13,Technical Development Incentive (TDI),0,"11,260",Engineering,N,Innovation and Technical Development,COLERAINE,23
A. Farlow (Engineering) Ltd,39,Ballynameen Road, , ,Garvagh,Co. Londonderry,Northern Ireland,BT51 5PN,"42,000",14-Oct-13,17-Oct-13,Selective Financial Assistance (The Jobs Fund),6,"207,600",Engineering,N,Job Creation,COLERAINE,23
A. Farlow (Engineering) Ltd,39,Ballynameen Road, , ,Garvagh,Co. Londonderry,Northern Ireland,BT51 5PN,"2,040",13-Aug-14,15-Aug-14,MIS,0,"5,880",Engineering,N,Innovation and Technical Development,COLERAINE,23
A. J. Power Limited,1,Charlestown Drive,Carn Industrial Area, ,Craigavon,Co. Armagh,Northern Ireland,BT63 5GA,"200,000",18-Oct-13,11-Dec-13,SFA 250k or more,24,"2,998,820",Electrical & Electronics,N,Job Creation,CRAIGAVON,77
A. J. Power Limited,1,Charlestown Drive,Carn Industrial Area, ,Craigavon,Co. Armagh,Northern Ireland,BT63 5GA,"129,410",12-Sep-13,11-Dec-13,Property Assistance Scheme,0,"682,800",Electrical & Electronics,N,Property Development,CRAIGAVON,77
A.P.S. Auto Parts Ltd,111,Concession Road,Culloville, ,Crossmaglen,Co. Armagh,Northern Ireland,BT35 9JE,"18,255",15-Sep-14,19-Sep-14,MIS,0,"54,925",Business Services,N,Innovation and Technical Development,NEWRY & MOURNE,3
A.V Browne Advertising Limited,46,Bedford Street, , ,Belfast,Co. Antrim,Northern Ireland,BT2 7GH,"25,000",19-Aug-13,8-Oct-13,MIS,0,"120,771",Creative,N,Innovation and Technical Development,BELFAST,98
A1 Power Systems Ltd,Unit 4,Derryvale Industrial Estate, , ,Dungannon,Co. Tyrone,Northern Ireland,BT71 4DU,"22,904",21-Dec-11,22-Feb-12,Growth Accelerator Programme (GAP),1,"78,040",Engineering,N,Job Creation,DUNGANNON,8
A1 Solutions (NI) Limited,Unit 4,Glenwood Business Park,Springbank Industrial Estate,Pembrook Loop Road,Belfast,Co. Antrim,Northern Ireland,BT17 0QL,"21,000",24-May-12,13-Jun-12,Selective Financial Assistance (The Jobs Fund),3,"111,200",Business Services,N,Job Creation,LISBURN,3
A1 Solutions (NI) Limited,Unit 4,Glenwood Business Park,Springbank Industrial Estate,Pembrook Loop Road,Belfast,Co. Antrim,Northern Ireland,BT17 0QL,"8,186",30-Oct-12,8-Nov-12,MIS,0,"19,934",Business Services,N,Innovation and Technical Development,LISBURN,3
A1 Solutions (NI) Limited,Unit 4,Glenwood Business Park,Springbank Industrial Estate,Pembrook Loop Road,Belfast,Co. Antrim,Northern Ireland,BT17 0QL,"14,000",25-Jul-13,19-Sep-13,Growth Accelerator Programme (GAP),0,"35,000",Business Services,N,Other,LISBURN,3
A1 Speediprint Ltd,31,Mallory Park, , ,Eglinton,Co. Londonderry,Northern Ireland,BT47 3XJ,"12,640",11-Jan-12,14-Jan-12,Growth Accelerator Programme (GAP),1,"34,600",Business Services,Y,Job Creation,DERRY,2
A27 Engineering,6,Unshinagh Lane,Portadown, ,Craigavon,Co. Armagh,Northern Ireland,BT62 3RL,850,15-Nov-12,18-Nov-12,Technical Development Incentive (TDI),0,"1,700",Engineering,N,Innovation and Technical Development,CRAIGAVON,1
A27 Engineering,6,Unshinagh Lane,Portadown, ,Craigavon,Co. Armagh,Northern Ireland,BT62 3RL,"2,120",14-Feb-13,4-Mar-13,Pre-Start,0,"5,300",Engineering,Y,Other,CRAIGAVON,1
A27 Engineering,6,Unshinagh Lane,Portadown, ,Craigavon,Co. Armagh,Northern Ireland,BT62 3RL,"1,650",2-Oct-13,9-Oct-13,Technical Development Incentive (TDI),0,"3,300",Engineering,N,Innovation and Technical Development,CRAIGAVON,1
AA Joinery,15,Ballynacooley Road, , ,Randalstown,Co. Antrim,Northern Ireland,BT41 3NB,854,16-Jan-12,6-Feb-12,Technical Development Incentive (TDI),0,"1,896",Construction Products,N,Innovation and Technical Development,ANTRIM,15
Abacus Business Forms Ltd,Unit 23B,Crawfordsburn Road Industrial Estate, , ,Newtownards,Co. Down,Northern Ireland,BT23 4EA,"6,233",21-Oct-11,5-Dec-11,MIS,0,"20,301",Printing,N,Innovation and Technical Development,ARDS,9
Abbey-Crete Limited,372,Ballyclare Road, , ,Newtownabbey,Co. Antrim,Northern Ireland,BT36 4TQ,905,27-Jun-13,28-Jun-13,Technical Development Incentive (TDI),0,"1,810",Construction Products,N,Innovation and Technical Development,NEWTOWNABBEY,11
Abernethy Butter Company,66,Ballynahinch Road, , ,Dromara,Co. Down,Northern Ireland,BT25 2AL,"11,000",10-Jul-13,16-Jul-13,Export Start,2,"32,500",Food,Y,Job Creation,LISBURN,1
Abfino,6,Lindesayville Road,Tullyhogue, ,Cookstown,Co. Tyrone,Northern Ireland,BT80 8UQ,"2,484",30-Sep-11,25-Jan-12,MIS,0,"6,495",Furniture,N,Innovation and Technical Development,COOKSTOWN,1
AC Automation (U.K.) Limited, ,Trooperslane Industrial Estate,5 Sloefield Park, ,Carrickfergus,Co. Antrim,Northern Ireland,BT38 8GR,825,14-Jun-13,19-Jun-13,Technical Development Incentive (TDI),0,"1,650",Business Services,N,Innovation and Technical Development,CARRICKFERGUS,9
ACA Generation LLP,5,Sloefield Park,Troopers Lane Industrial Park, ,Carrickfergus,Co. Antrim,Northern Ireland,BT38 8GR,"42,000",31-May-13,18-Jun-13,Growth Accelerator Programme (GAP),2,"219,000",Business Services,Y,Job Creation,CARRICKFERGUS,1
Academy of Educational Studies LTD,22-25,Railway Road, , ,Coleraine,Co. Londonderry,Northern Ireland,BT52 1PD,"5,203",10-Mar-11,26-Apr-11,MIS,0,"24,914",Business Services,N,Innovation and Technical Development,COLERAINE,2
Accept Care (Social Firms) Limited,67,Groomsport Road, , ,Bangor,Co. Down,Northern Ireland,BT20 5ND,"2,800",12-Dec-11,29-Dec-11,Pre-Start,0,"7,000",Horticulture,Y,Other,NORTH DOWN,21
Accept Care (Social Firms) Limited,67,Groomsport Road, , ,Bangor,Co. Down,Northern Ireland,BT20 5ND,"46,000",13-Jan-12,25-Jan-12,Social Enterprise SFA (The Jobs Fund),23,"345,000",Horticulture,N,Job Creation,NORTH DOWN,21
Access Rescue Consulting at Height (ARCH),Unit 2 & Unit 3,Manderwood Park, , ,Lisnaskea,Co. Fermanagh,Northern Ireland,BT92 0FP,"10,000",18-Mar-14,20-Mar-14,Skills Accelerator Grant,0,"33,900",Business Services,N,Skills Development,FERMANAGH,1
Access Rescue Consulting at Height (ARCH),Unit 2 & Unit 3,Manderwood Park, , ,Lisnaskea,Co. Fermanagh,Northern Ireland,BT92 0FP,"2,250",29-Jul-14,5-Aug-14,Technical Development Incentive (TDI),0,"4,500",Business Services,N,Innovation and Technical Development,FERMANAGH,1
Accur8,Unit 1 & 2,23 Ballymacombs Road, , ,Portglenone,Co. Antrim,Northern Ireland,BT44 8NQ,"5,000",20-Oct-11,24-Oct-11,Growth Incentive,0,"12,500",Construction Products,N,Other,MAGHERAFELT,2
Ace Air (NI) Ltd,93b,Castlewellan Road, , ,Dromara,Co. Down,Northern Ireland,BT25 2JN,"21,000",29-Nov-12,7-Dec-12,Selective Financial Assistance (The Jobs Fund),3,"50,000",Business Services,N,Job Creation,BANBRIDGE,2
Ace Computer Solutions NI Ltd,Unit 1,8 Meadowbank Road, , ,Carrickfergus,Co. Antrim,Northern Ireland,BT38 8YF,"4,824",4-Jun-13,13-Jun-13,MIS,0,"13,080",Business Services,N,Innovation and Technical Development,CARRICKFERGUS,4
Acheson & Glover Limited,127,Crievehill Road, , ,Fivemiletown,Co. Tyrone,Northern Ireland,BT75 0SY,"42,000",24-Aug-12,28-Aug-12,SFA less than 250k,5,"231,000",Construction Products,N,Job Creation,FERMANAGH,200
Acheson & Glover Precast Limited, ,Tullyvannon, , ,Ballygawley,Co. Tyrone,Northern Ireland,BT70 2HW,"40,000",10-Jul-12,6-Aug-12,SFA less than 250k,5,"193,500",Construction Products,N,Job Creation,DUNGANNON,153
Achta Ltd,68,Crabtree Road, , ,Ballynahinch,Co. Down,Northern Ireland,BT24 8XD,"45,675",30-Jul-12,21-Aug-12,Grant For Research And Development,0,"60,900",Software,N,Research and Development,DOWN,1
Achta Ltd,68,Crabtree Road, , ,Ballynahinch,Co. Down,Northern Ireland,BT24 8XD,"20,000",22-Jan-14,6-Feb-14,Propel Programme,0,"20,000",Software,N,Skills Development,DOWN,1
Acidy Ltd,7,Harryville, , ,Portstewart,Co. Londonderry,Northern Ireland,BT55 7AU,"21,962",7-Oct-11,21-Nov-11,Growth Accelerator Programme (GAP),1,"63,290",Software,Y,Job Creation,COLERAINE,2
Acksen Ltd,28,Station Road,Whiteabbey, ,Newtownabbey,Co. Antrim,Northern Ireland,BT37 0AW,"40,048",26-Sep-11,27-Sep-11,Growth Accelerator Programme (GAP),0,"100,000",Computer Software & Services,N,Other,NEWTOWNABBEY,3
Acksen Ltd,28,Station Road,Whiteabbey, ,Newtownabbey,Co. Antrim,Northern Ireland,BT37 0AW,"41,150",1-Apr-14,4-Apr-14,Grant For Research And Development,0,"82,300",Computer Software & Services,N,Research and Development,NEWTOWNABBEY,3
Acorn IT Solutions Limited,Unit 1,Sperrin View Business Park,Glen Road, ,Maghera,Co. Londonderry,Northern Ireland,BT46 5LT,"5,002",19-Dec-11,16-Jan-12,Project Definition,0,"10,004",Computer Software & Services,N,Research and Development,MAGHERAFELT,8
Acorn IT Solutions Limited,Unit 1,Sperrin View Business Park,Glen Road, ,Maghera,Co. Londonderry,Northern Ireland,BT46 5LT,"5,486",3-Jan-12,16-Jan-12,MIS,0,"16,300",Computer Software & Services,N,Innovation and Technical Development,MAGHERAFELT,8
Acorn IT Solutions Limited,Unit 1,Sperrin View Business Park,Glen Road, ,Maghera,Co. Londonderry,Northern Ireland,BT46 5LT,"32,636",6-Jul-12,11-Jul-12,Grant For Research And Development,0,"43,515",Computer Software & Services,N,Research and Development,MAGHERAFELT,8
Acorn IT Solutions Limited,Unit 1,Sperrin View Business Park,Glen Road, ,Maghera,Co. Londonderry,Northern Ireland,BT46 5LT,"8,015",10-Oct-13,15-Oct-13,Skills Accelerator Grant,0,"16,030",Computer Software & Services,N,Skills Development,MAGHERAFELT,8
Acorn IT Solutions Limited,Unit 1,Sperrin View Business Park,Glen Road, ,Maghera,Co. Londonderry,Northern Ireland,BT46 5LT,"30,712",9-May-14,22-May-14,Growth Accelerator Programme (GAP),2,"146,780",Computer Software & Services,N,Job Creation,MAGHERAFELT,8
Acos (N.I.) Limited, ,Lackaghboy Industrial Estate,Tempo Road, ,Enniskillen,Co. Fermanagh,Northern Ireland,BT74 4RL,"12,919",9-Apr-13,14-May-13,MIS,0,"28,210",Printing,N,Innovation and Technical Development,FERMANAGH,26
